participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatstrategy,player.ctrl_errors_count,player.ctrltaskpaid,player.ctrltaskpaid_errors_count,player.ctrltask1roundpaid,player.ctrltask1roundpaid_errors_count,player.ctrlgroup,player.ctrlgroup_errors_count,player.ctrlfeedback,player.ctrlfeedback_errors_count,player.ctrlpayoffmember,player.ctrlpayoffmember_errors_count,player.ctrlpayoffleader,player.ctrlpayoffleader_errors_count,player.ctrlpaymentrole,player.ctrlpaymentrole_errors_count,player.ctrlbeliefpayment,player.ctrlbeliefpayment_errors_count,player.ctrltruthtelling,player.ctrltruthtelling_errors_count,player.payoff,group.id_in_subsession,group.groupreturnsuccess,group.groupreturnfailure,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
20,t1r349rd,,0,73,74,el_end,A_Dropout,2020-10-08 01:06:08.651876+00:00,1,,,0.00,20,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
21,s7ak09y2,,0,73,74,el_end,A_Dropout,2020-10-08 01:06:08.715674+00:00,1,,,0.00,21,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
22,wyrouc3n,,0,73,74,el_end,A_Dropout,2020-10-08 01:06:08.763589+00:00,1,,,0.00,22,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
23,riqm26xk,,0,73,74,el_end,A_Dropout,2020-10-08 01:06:08.806140+00:00,1,,,0.00,23,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
24,xb9mzeg1,,0,73,74,el_end,A_Dropout,2020-10-08 01:06:08.856258+00:00,1,,,0.00,24,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
1,2ntkls0n,P4,0,74,74,el_end,B_End,2020-10-08 02:51:01.346650+00:00,1,,,25.00,1,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
2,7gpkmel9,P1,0,74,74,el_end,B_End,2020-10-08 02:51:01.834690+00:00,1,,,15.00,2,0,1,0,0,1,0,1,0,2,0,250,0,100,1,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
3,es796ou6,P3,0,74,74,el_end,B_End,2020-10-08 02:51:03.861710+00:00,1,,,0.00,3,0,6,0,2,1,1,1,0,2,0,250,1,100,1,3,0,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
4,svjydsvf,P2,0,74,74,el_end,B_End,2020-10-08 02:51:04.964741+00:00,1,,,16.25,4,0,2,0,0,1,0,1,0,2,0,250,0,100,1,3,0,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
5,to2es1cd,P5,0,74,74,el_end,B_End,2020-10-08 02:51:36.773114+00:00,1,,,10.00,5,0,2,0,0,1,0,1,0,2,0,250,0,100,2,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
6,fed3noki,P6,0,74,74,el_end,B_End,2020-10-08 02:52:13.667269+00:00,1,,,15.00,6,0,4,0,2,1,0,1,0,2,0,250,0,100,0,3,1,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
7,5205f3z8,P7,0,74,74,el_end,B_End,2020-10-08 02:54:21.060014+00:00,1,,,20.00,7,0,5,0,0,1,0,1,0,2,0,250,0,100,1,3,1,0,1,2,2,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
8,mi047txm,P10,0,74,74,el_end,B_End,2020-10-08 02:54:25.638192+00:00,1,,,15.50,8,0,2,0,1,1,1,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
9,zda8a51f,P8,0,74,74,el_end,B_End,2020-10-08 02:54:38.147574+00:00,1,,,11.75,9,0,6,0,0,1,0,1,0,2,0,250,2,100,0,3,1,0,1,2,2,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
10,gtqr9nu5,P11,0,74,74,el_end,B_End,2020-10-08 02:54:53.333830+00:00,1,,,16.25,10,0,2,0,0,1,0,1,0,2,1,250,0,100,0,3,0,0,0,2,1,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
